log_timestamp,esp_timestamp,battery_voltage,signal_strength,uptime_seconds,running_led,dfplayer_available,water_intrusion,water_sensor_raw,connection_status,ip_address
2026-02-28T20:38:07.797Z,153377,8.86V,-48dBm,146,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:08.814Z,154404,8.47V,-48dBm,147,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:09.840Z,155415,8.88V,-37dBm,148,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:10.839Z,156433,8.76V,-37dBm,149,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:11.773Z,157362,8.35V,-34dBm,150,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:12.807Z,158393,8.88V,-37dBm,151,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:13.840Z,159431,8.61V,-33dBm,152,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:14.857Z,160437,8.43V,-34dBm,153,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:15.740Z,161334,8.58V,-36dBm,154,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:16.774Z,162354,8.90V,-36dBm,155,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:17.807Z,163394,8.74V,-42dBm,156,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:18.841Z,164413,8.90V,-44dBm,157,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:19.758Z,165334,8.58V,-33dBm,158,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:20.775Z,166354,8.90V,-34dBm,159,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:21.825Z,167393,8.75V,-35dBm,160,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:22.825Z,168413,8.82V,-36dBm,161,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:23.842Z,169433,8.65V,-33dBm,162,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:24.809Z,170393,8.67V,-43dBm,163,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:25.809Z,171373,8.61V,-47dBm,164,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:26.842Z,172433,8.70V,-35dBm,165,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:27.826Z,173413,8.81V,-39dBm,166,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:28.876Z,174453,8.67V,-37dBm,167,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:29.810Z,175393,8.67V,-34dBm,168,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:30.810Z,176393,8.97V,-35dBm,169,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:31.843Z,177433,8.64V,-47dBm,170,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:32.943Z,178533,8.52V,-47dBm,171,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:33.760Z,179353,8.86V,-55dBm,172,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:34.867Z,180414,8.70V,-53dBm,173,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:35.924Z,181513,8.68V,-57dBm,174,0,1,0,1,online,172.20.10.6
2026-02-28T20:38:36.862Z,182453,8.76V,-65dBm,175,0,1,0,1,online,172.20.10.6
2026-02-28T20:39:10.121Z,215712,8.49V,-63dBm,208,0,1,0,1,online,172.20.10.6
2026-02-28T20:39:11.135Z,216732,8.75V,-61dBm,209,0,1,0,1,online,172.20.10.6
2026-02-28T20:39:12.179Z,217771,8.91V,-61dBm,210,0,1,0,1,online,172.20.10.6
2026-02-28T20:39:13.184Z,218771,8.80V,-52dBm,211,0,1,0,1,online,172.20.10.6
2026-02-28T20:39:14.209Z,219791,8.64V,-53dBm,212,0,1,0,1,online,172.20.10.6
2026-02-28T20:39:15.343Z,220931,8.57V,-55dBm,213,0,1,0,1,online,172.20.10.6
2026-02-28T20:39:16.327Z,221891,8.62V,-55dBm,214,0,1,0,1,online,172.20.10.6
2026-02-28T20:39:17.227Z,222791,8.73V,-54dBm,215,0,1,0,1,online,172.20.10.6
2026-02-28T20:39:18.277Z,223851,8.77V,-55dBm,216,0,1,0,1,online,172.20.10.6
2026-02-28T20:39:19.394Z,224971,8.71V,-65dBm,217,0,1,0,1,online,172.20.10.6
2026-02-28T20:39:20.310Z,225891,8.87V,-57dBm,218,0,1,0,1,online,172.20.10.6
2026-02-28T20:39:21.428Z,227011,8.70V,-55dBm,219,0,1,0,1,online,172.20.10.6
2026-02-28T20:39:22.539Z,228071,8.62V,-59dBm,220,0,1,0,1,online,172.20.10.6
2026-02-28T20:39:23.335Z,228871,8.76V,-51dBm,221,0,1,0,1,online,172.20.10.6
2026-02-28T20:41:22.527Z,347886,7.36V,-70dBm,340,0,1,1,0,online,172.20.10.6
2026-02-28T20:41:23.267Z,348826,7.50V,-70dBm,341,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:06.443Z,392025,7.87V,-71dBm,384,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:07.502Z,393084,7.80V,-68dBm,385,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:08.635Z,394204,7.75V,-66dBm,387,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:09.535Z,395104,7.80V,-65dBm,387,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:10.435Z,396004,7.77V,-71dBm,388,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:11.619Z,397184,7.69V,-69dBm,390,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:12.536Z,398104,7.62V,-67dBm,390,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:13.519Z,399104,7.48V,-67dBm,391,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:14.570Z,400124,7.72V,-68dBm,392,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:15.470Z,401044,7.88V,-64dBm,393,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:16.503Z,402085,7.41V,-60dBm,394,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:17.503Z,403084,7.91V,-59dBm,395,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:18.420Z,404004,7.81V,-63dBm,396,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:19.454Z,405024,7.83V,-58dBm,397,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:20.687Z,406264,7.94V,-68dBm,399,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:21.497Z,407084,7.73V,-57dBm,399,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:49.588Z,435143,8.01V,-46dBm,427,0,1,0,1,online,172.20.10.6
2026-02-28T20:42:50.596Z,436183,7.99V,-32dBm,429,0,1,0,1,online,172.20.10.6
2026-02-28T20:42:51.720Z,437303,7.80V,-21dBm,430,0,1,0,1,online,172.20.10.6
2026-02-28T20:42:52.936Z,438523,7.95V,-20dBm,431,0,1,0,1,online,172.20.10.6
2026-02-28T20:42:53.867Z,439443,7.88V,-35dBm,432,0,1,0,1,online,172.20.10.6
2026-02-28T20:43:00.812Z,446402,8.02V,-45dBm,439,0,1,0,1,online,172.20.10.6
2026-02-28T20:43:01.839Z,447422,7.92V,-49dBm,440,0,1,0,1,online,172.20.10.6
2026-02-28T20:43:03.015Z,448602,8.04V,-57dBm,441,0,1,0,1,online,172.20.10.6
2026-02-28T20:43:03.918Z,449502,8.07V,-66dBm,442,0,1,0,1,online,172.20.10.6
2026-02-28T20:43:26.437Z,472021,7.97V,-37dBm,464,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:27.476Z,473061,7.86V,-41dBm,465,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:28.595Z,474181,8.02V,-24dBm,467,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:29.698Z,475281,7.82V,-28dBm,468,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:30.739Z,476321,7.88V,-42dBm,469,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:31.859Z,477441,7.93V,-36dBm,470,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:33.023Z,478601,7.87V,-40dBm,471,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:34.097Z,479681,7.92V,-30dBm,472,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:35.282Z,480861,7.91V,-31dBm,473,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:36.194Z,481781,8.00V,-27dBm,474,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:53.091Z,498680,7.88V,-45dBm,491,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:54.216Z,499800,7.65V,-57dBm,492,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:55.317Z,500900,8.04V,-58dBm,493,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:56.333Z,501920,7.93V,-52dBm,494,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:57.453Z,503040,8.02V,-51dBm,495,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:58.575Z,504160,8.17V,-56dBm,497,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:59.596Z,505180,7.86V,-43dBm,498,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:00.615Z,506200,8.04V,-49dBm,499,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:01.652Z,507240,8.06V,-38dBm,500,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:02.776Z,508360,8.00V,-43dBm,501,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:03.937Z,509501,8.00V,-50dBm,502,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:05.016Z,510600,8.02V,-51dBm,503,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:05.953Z,511540,7.87V,-51dBm,504,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:07.934Z,513520,8.26V,-41dBm,506,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:08.918Z,514500,7.99V,-35dBm,507,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:14.697Z,520279,8.13V,-75dBm,513,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:15.676Z,521259,8.02V,-46dBm,514,0,1,1,0,online,172.20.10.6
2026-02-28T20:45:41.716Z,607296,8.02V,-50dBm,600,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:42.736Z,608316,8.02V,-46dBm,601,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:43.893Z,609456,8.03V,-41dBm,602,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:44.859Z,610436,7.87V,-42dBm,603,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:45.918Z,611476,7.99V,-53dBm,604,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:46.818Z,612396,8.18V,-58dBm,605,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:47.885Z,613457,8.01V,-38dBm,606,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:48.868Z,614436,7.86V,-40dBm,607,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:49.902Z,615476,7.93V,-50dBm,608,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:50.952Z,616516,7.80V,-49dBm,609,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:51.873Z,617436,7.76V,-51dBm,610,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:52.860Z,618436,8.09V,-56dBm,611,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:53.877Z,619456,7.72V,-56dBm,612,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:54.944Z,620516,8.02V,-49dBm,613,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:55.948Z,621515,7.74V,-54dBm,614,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:56.865Z,622435,7.83V,-54dBm,615,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:57.920Z,623477,7.87V,-46dBm,616,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:58.920Z,624495,7.82V,-46dBm,617,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:59.870Z,625435,7.98V,-50dBm,618,0,1,0,1,online,172.20.10.6